Brand Name,Required Asset Type,Required Asset Size SqFt,Preferred Location,Required Liquid Investment INR,Expected Personality Traits,Industry,Contact Email
Punjab Food Court,Retail Space,2762,"Kolkata, Tamil Nadu",0,Persuasive Networker,HORECA,punjabfoodcourt8429@business.com
Regal Dining,Standalone Building,563,"Ahmedabad, Telangana",0,Execution Specialist,HORECA,regaldining1926@business.com
Lucknow Corner,Commercial Shop,3474,"Indore, Delhi",3046663,"Strategic Planner, Confident Leader",HORECA,lucknowcorner7842@business.com
Punjab Biryani,Retail Space,3275,"Mumbai, Assam",0,"Adaptive Problem Solver, Strategic Planner, Confident Leader",HORECA,punjabbiryani8979@business.com
Regal Dining,Retail Space,3113,"Mumbai, Kerala",251714,"Execution Specialist, Resilient Builder, Strategic Planner",HORECA,regaldining9479@business.com
Bombay Eatery,Food Court Stall,364,"Indore, West Bengal",12834034,Resilient Builder,HORECA,bombayeatery3012@business.com
Bengal Corner,Standalone Building,1243,"Pune, Telangana",1450517,Persuasive Networker,HORECA,bengalcorner196@business.com
Punjab Cafe,Restaurant Space,2341,"Nagpur, Maharashtra",0,"Execution Specialist, Persuasive Networker, Strategic Planner",HORECA,punjabcafe1638@business.com
Delhi Kitchen,Food Court Stall,3154,"Kolkata, Delhi",18767199,Adaptive Problem Solver,HORECA,delhikitchen9722@business.com
Elite House,Restaurant Space,866,"Bengaluru, Delhi",16983177,"Opportunity Hunter, Adaptive Problem Solver",HORECA,elitehouse830@business.com
Regal Table,Food Court Stall,3220,"Chennai, West Bengal",0,Visionary Innovator,HORECA,regaltable6810@business.com
Grand Kitchen,Mall Kiosk,857,"Pune, Punjab",0,"Execution Specialist, Confident Leader",HORECA,grandkitchen484@business.com
Urban Kitchen,Mall Kiosk,3354,"Lucknow, Tamil Nadu",2162746,"Adaptive Problem Solver, Confident Leader",HORECA,urbankitchen4550@business.com
Masti Spot,Standalone Building,295,"Guwahati, Kerala",0,Confident Leader,HORECA,mastispot2895@business.com
Delhi Tiffin,Standalone Building,1739,"Jaipur, Punjab",10205007,"Opportunity Hunter, Adaptive Problem Solver, Persuasive Networker",HORECA,delhitiffin9768@business.com
Royal Reserve,Commercial Shop,2371,"Lucknow, Odisha",0,"Confident Leader, Execution Specialist, Resilient Builder",HORECA,royalreserve5838@business.com
Imperial Cafe,Retail Space,2008,"Patna, Gujarat",0,"Visionary Innovator, Execution Specialist",HORECA,imperialcafe7317@business.com
Masala Hub,Commercial Shop,1899,"Kochi, Madhya Pradesh",1983336,"Adaptive Problem Solver, Resilient Builder",HORECA,masalahub5641@business.com
Lucknow Dhaba,Standalone Building,2419,"Ahmedabad, Rajasthan",0,"Confident Leader, Visionary Innovator, Opportunity Hunter",HORECA,lucknowdhaba6237@business.com
Velvet Kitchen,Restaurant Space,203,"Nagpur, Tamil Nadu",0,"Adaptive Problem Solver, Strategic Planner, Persuasive Networker",HORECA,velvetkitchen7062@business.com
Imperial Table,Food Court Stall,673,"Indore, Uttar Pradesh",0,"Adaptive Problem Solver, Execution Specialist, Visionary Innovator",HORECA,imperialtable3786@business.com
Hungry Bazaar,Restaurant Space,2657,"Chennai, Madhya Pradesh",1689479,"Confident Leader, Visionary Innovator",HORECA,hungrybazaar9390@business.com
Royal Reserve,Food Court Stall,1943,"Ahmedabad, Delhi",723072,"Execution Specialist, Opportunity Hunter, Strategic Planner",HORECA,royalreserve4857@business.com
Velvet Bistro,Retail Space,3446,"Hyderabad, Uttar Pradesh",6570095,"Strategic Planner, Execution Specialist",HORECA,velvetbistro6269@business.com
Chill Corner,Commercial Shop,3353,"Ahmedabad, West Bengal",674792,"Resilient Builder, Opportunity Hunter, Visionary Innovator",HORECA,chillcorner3158@business.com
Golden House,Standalone Building,1461,"Bengaluru, Gujarat",0,"Opportunity Hunter, Execution Specialist, Adaptive Problem Solver",HORECA,goldenhouse9305@business.com
Golden Cuisine,Standalone Building,1721,"Patna, Odisha",2522199,"Strategic Planner, Visionary Innovator",HORECA,goldencuisine7406@business.com
Spice Point,Commercial Shop,3546,"Lucknow, Delhi",0,"Execution Specialist, Confident Leader, Visionary Innovator",HORECA,spicepoint551@business.com
Masala Corner,Retail Space,3895,"Lucknow, Kerala",617786,"Strategic Planner, Persuasive Networker",HORECA,masalacorner1035@business.com
Crazy Bazaar,Mall Kiosk,436,"Guwahati, Punjab",1401541,"Persuasive Networker, Adaptive Problem Solver, Execution Specialist",HORECA,crazybazaar1959@business.com
Masala Junction,Restaurant Space,403,"Guwahati, Kerala",8285827,Adaptive Problem Solver,HORECA,masalajunction8783@business.com
Madras Food Court,Commercial Shop,614,"Bhopal, Punjab",10832084,Execution Specialist,HORECA,madrasfoodcourt2923@business.com
Imperial Dining,Standalone Building,2467,"Indore, Uttar Pradesh",2411961,"Opportunity Hunter, Visionary Innovator, Strategic Planner",HORECA,imperialdining3661@business.com
Masti Station,Standalone Building,797,"Surat, West Bengal",2760464,"Confident Leader, Strategic Planner",HORECA,mastistation1791@business.com
Spice Adda,Commercial Shop,1520,"Chennai, Assam",2077328,"Execution Specialist, Visionary Innovator",HORECA,spiceadda7198@business.com
Heritage Reserve,Restaurant Space,2054,"Jaipur, Punjab",10113714,"Strategic Planner, Resilient Builder",HORECA,heritagereserve5060@business.com
Heritage Cafe,Retail Space,579,"Hyderabad, Maharashtra",0,"Visionary Innovator, Strategic Planner, Opportunity Hunter",HORECA,heritagecafe1416@business.com
Madras Meals,Standalone Building,1831,"Chandigarh, Punjab",1322898,"Resilient Builder, Opportunity Hunter",HORECA,madrasmeals5059@business.com
Spice Station,Standalone Building,2913,"Surat, Tamil Nadu",2535655,"Persuasive Networker, Resilient Builder",HORECA,spicestation1953@business.com
Desi Food Court,Standalone Building,2322,"Ahmedabad, Karnataka",0,"Persuasive Networker, Confident Leader, Adaptive Problem Solver",HORECA,desifoodcourt2277@business.com
Tandoor Spot,Standalone Building,2575,"Bhopal, Maharashtra",11138080,Resilient Builder,HORECA,tandoorspot5422@business.com
Bombay Dhaba,Standalone Building,1754,"Jaipur, Delhi",0,"Execution Specialist, Opportunity Hunter",HORECA,bombaydhaba8377@business.com
Velvet Cafe,Commercial Shop,3974,"Delhi, West Bengal",17751637,"Resilient Builder, Visionary Innovator",HORECA,velvetcafe2081@business.com
Tandoor Corner,Retail Space,262,"Bengaluru, Odisha",0,Visionary Innovator,HORECA,tandoorcorner1086@business.com
Spice Stop,Commercial Shop,2475,"Kolkata, Kerala",2824918,"Execution Specialist, Opportunity Hunter, Confident Leader",HORECA,spicestop2535@business.com
Royal Platter,Restaurant Space,3283,"Delhi, Gujarat",1644445,"Confident Leader, Strategic Planner",HORECA,royalplatter9785@business.com
Hungry Hub,Standalone Building,1800,"Bhopal, Madhya Pradesh",675542,"Execution Specialist, Opportunity Hunter, Visionary Innovator",HORECA,hungryhub4223@business.com
India Cafe,Mall Kiosk,1949,"Patna, Kerala",2493968,Adaptive Problem Solver,HORECA,indiacafe9863@business.com
Delhi Biryani,Commercial Shop,3744,"Noida, Maharashtra",1593617,"Opportunity Hunter, Confident Leader",HORECA,delhibiryani1623@business.com
Imperial Reserve,Retail Space,1258,"Surat, Delhi",17294154,"Visionary Innovator, Persuasive Networker, Execution Specialist",HORECA,imperialreserve5529@business.com
Elite Lounge,Standalone Building,1332,"Noida, Telangana",4438493,"Adaptive Problem Solver, Strategic Planner, Persuasive Networker",HORECA,elitelounge7148@business.com
Masti Spot,Food Court Stall,2616,"Kolkata, Assam",2117181,"Strategic Planner, Adaptive Problem Solver, Persuasive Networker",HORECA,mastispot9199@business.com
Masti Street,Mall Kiosk,248,"Bengaluru, West Bengal",1364820,"Confident Leader, Resilient Builder",HORECA,mastistreet8590@business.com
Delhi Tiffin,Retail Space,1466,"Noida, Odisha",2139007,"Persuasive Networker, Resilient Builder, Strategic Planner",HORECA,delhitiffin746@business.com
Biryani Street,Mall Kiosk,3025,"Ahmedabad, Uttar Pradesh",4500278,Opportunity Hunter,HORECA,biryanistreet1774@business.com
Biryani Junction,Standalone Building,3993,"Chandigarh, Delhi",0,Resilient Builder,HORECA,biryanijunction8376@business.com
Elite Cafe,Mall Kiosk,1710,"Patna, Delhi",0,"Execution Specialist, Strategic Planner",HORECA,elitecafe9519@business.com
Biryani Adda,Retail Space,1552,"Nagpur, Madhya Pradesh",2974165,"Persuasive Networker, Visionary Innovator, Adaptive Problem Solver",HORECA,biryaniadda737@business.com
Lucknow Corner,Food Court Stall,3198,"Kolkata, Karnataka",504587,Resilient Builder,HORECA,lucknowcorner9539@business.com
Elite Platter,Commercial Shop,1285,"Indore, Karnataka",0,Visionary Innovator,HORECA,eliteplatter8883@business.com
Spice Street,Retail Space,1886,"Guwahati, Assam",7491673,Resilient Builder,HORECA,spicestreet6441@business.com
Velvet Table,Restaurant Space,3440,"Ahmedabad, Kerala",0,"Confident Leader, Execution Specialist",HORECA,velvettable1531@business.com
Bengal Corner,Restaurant Space,3759,"Bhubaneswar, Telangana",2170857,"Adaptive Problem Solver, Resilient Builder, Execution Specialist",HORECA,bengalcorner2440@business.com
Bengal Dhaba,Food Court Stall,1802,"Chandigarh, Telangana",10938441,"Confident Leader, Adaptive Problem Solver",HORECA,bengaldhaba7853@business.com
Chai Bazaar,Commercial Shop,2555,"Bhubaneswar, Gujarat",0,"Adaptive Problem Solver, Confident Leader, Persuasive Networker",HORECA,chaibazaar3039@business.com
Urban Table,Food Court Stall,2256,"Bhubaneswar, Kerala",13533198,"Adaptive Problem Solver, Execution Specialist",HORECA,urbantable6703@business.com
Bengal House,Standalone Building,2075,"Kochi, Telangana",0,Resilient Builder,HORECA,bengalhouse319@business.com
Imperial Table,Mall Kiosk,806,"Patna, Madhya Pradesh",0,"Strategic Planner, Persuasive Networker",HORECA,imperialtable5298@business.com
Hungry Point,Mall Kiosk,3399,"Nagpur, Punjab",0,"Confident Leader, Execution Specialist, Resilient Builder",HORECA,hungrypoint1040@business.com
Signature House,Mall Kiosk,427,"Ahmedabad, Odisha",6984534,"Visionary Innovator, Execution Specialist",HORECA,signaturehouse830@business.com
Kolkata Corner,Standalone Building,2415,"Kolkata, Odisha",0,"Resilient Builder, Adaptive Problem Solver",HORECA,kolkatacorner7241@business.com
Bombay Eatery,Commercial Shop,3111,"Bhopal, Madhya Pradesh",1018414,Execution Specialist,HORECA,bombayeatery3788@business.com
Royal Lounge,Restaurant Space,3872,"Kochi, Karnataka",13235534,Resilient Builder,HORECA,royallounge2096@business.com
Heritage Dining,Mall Kiosk,2887,"Kolkata, Karnataka",1081715,Strategic Planner,HORECA,heritagedining1290@business.com
Imperial House,Food Court Stall,1389,"Noida, Assam",0,"Persuasive Networker, Confident Leader",HORECA,imperialhouse4956@business.com
Grand Platter,Mall Kiosk,780,"Nagpur, Tamil Nadu",3177154,"Adaptive Problem Solver, Strategic Planner",HORECA,grandplatter8326@business.com
Chai Corner,Food Court Stall,1206,"Hyderabad, Kerala",2716643,Strategic Planner,HORECA,chaicorner3891@business.com
Golden Bistro,Standalone Building,1781,"Pune, Rajasthan",2037463,"Visionary Innovator, Adaptive Problem Solver, Strategic Planner",HORECA,goldenbistro2755@business.com
Regal Lounge,Food Court Stall,2509,"Bengaluru, West Bengal",13041299,"Visionary Innovator, Strategic Planner",HORECA,regallounge2602@business.com
Regal House,Commercial Shop,607,"Hyderabad, Odisha",16566659,"Visionary Innovator, Strategic Planner, Opportunity Hunter",HORECA,regalhouse191@business.com
Golden Dining,Mall Kiosk,2924,"Indore, Gujarat",3115589,"Visionary Innovator, Execution Specialist, Persuasive Networker",HORECA,goldendining3629@business.com
Hungry Corner,Retail Space,3368,"Jaipur, Assam",1278612,"Opportunity Hunter, Execution Specialist, Resilient Builder",HORECA,hungrycorner7566@business.com
Desi Point,Restaurant Space,1281,"Bhopal, Rajasthan",0,"Resilient Builder, Execution Specialist, Strategic Planner",HORECA,desipoint1938@business.com
Bombay Cafe,Mall Kiosk,2102,"Bengaluru, Uttar Pradesh",0,"Resilient Builder, Strategic Planner, Persuasive Networker",HORECA,bombaycafe8609@business.com
Bombay Cafe,Commercial Shop,1748,"Lucknow, Kerala",2927284,"Resilient Builder, Confident Leader",HORECA,bombaycafe8084@business.com
Bengal Corner,Commercial Shop,1980,"Ahmedabad, Telangana",1887089,Adaptive Problem Solver,HORECA,bengalcorner6865@business.com
Grand House,Food Court Stall,3640,"Chennai, Uttar Pradesh",1251843,Opportunity Hunter,HORECA,grandhouse4998@business.com
Golden Table,Standalone Building,2873,"Guwahati, Tamil Nadu",18548826,"Execution Specialist, Confident Leader, Strategic Planner",HORECA,goldentable9266@business.com
India House,Restaurant Space,2490,"Hyderabad, Rajasthan",1140228,Visionary Innovator,HORECA,indiahouse908@business.com
Imperial Bistro,Standalone Building,2331,"Ahmedabad, Telangana",0,"Visionary Innovator, Opportunity Hunter",HORECA,imperialbistro8478@business.com
Masala Bazaar,Retail Space,3916,"Chennai, Uttar Pradesh",3562930,"Visionary Innovator, Opportunity Hunter",HORECA,masalabazaar7396@business.com
Golden Reserve,Food Court Stall,2819,"Guwahati, Telangana",12563209,"Strategic Planner, Resilient Builder, Execution Specialist",HORECA,goldenreserve6961@business.com
Bombay Tiffin,Retail Space,2420,"Indore, Uttar Pradesh",17822887,Persuasive Networker,HORECA,bombaytiffin4920@business.com
Chai Bazaar,Standalone Building,1413,"Delhi, Punjab",13167399,Opportunity Hunter,HORECA,chaibazaar2736@business.com
Spice Point,Food Court Stall,3964,"Bhopal, Assam",16919721,"Opportunity Hunter, Strategic Planner, Execution Specialist",HORECA,spicepoint9266@business.com
Signature House,Food Court Stall,817,"Pune, Punjab",0,"Resilient Builder, Visionary Innovator",HORECA,signaturehouse620@business.com
Bombay Food Court,Retail Space,3987,"Bengaluru, Odisha",14957265,Confident Leader,HORECA,bombayfoodcourt6838@business.com
Punjab Meals,Commercial Shop,1540,"Jaipur, Madhya Pradesh",0,Confident Leader,HORECA,punjabmeals6496@business.com
Royal Dining,Restaurant Space,3956,"Ahmedabad, Tamil Nadu",1784252,"Resilient Builder, Persuasive Networker, Visionary Innovator",HORECA,royaldining429@business.com
Lucknow Biryani,Retail Space,1982,"Chennai, Delhi",0,Confident Leader,HORECA,lucknowbiryani5992@business.com
Urban Reserve,Standalone Building,3777,"Kochi, Odisha",1999542,"Execution Specialist, Visionary Innovator, Opportunity Hunter",HORECA,urbanreserve7159@business.com
Biryani Street,Food Court Stall,1715,"Mumbai, Punjab",1713151,"Strategic Planner, Visionary Innovator, Execution Specialist",HORECA,biryanistreet1034@business.com
Masti Station,Retail Space,2691,"Chennai, Uttar Pradesh",0,Adaptive Problem Solver,HORECA,mastistation3780@business.com
Heritage Lounge,Standalone Building,2772,"Nagpur, Telangana",0,Strategic Planner,HORECA,heritagelounge7389@business.com
India Corner,Food Court Stall,3693,"Noida, Gujarat",5357017,"Resilient Builder, Opportunity Hunter, Visionary Innovator",HORECA,indiacorner9727@business.com
Royal Platter,Retail Space,2715,"Noida, Gujarat",1214783,"Opportunity Hunter, Persuasive Networker",HORECA,royalplatter242@business.com
Tandoor Spot,Food Court Stall,1368,"Kochi, Tamil Nadu",0,Persuasive Networker,HORECA,tandoorspot8584@business.com
Heritage Bistro,Standalone Building,1344,"Nagpur, Uttar Pradesh",0,"Adaptive Problem Solver, Opportunity Hunter",HORECA,heritagebistro8891@business.com
Desi House,Commercial Shop,1189,"Guwahati, Assam",17458037,Execution Specialist,HORECA,desihouse1246@business.com
Velvet Reserve,Food Court Stall,1133,"Mumbai, Assam",17608725,"Adaptive Problem Solver, Execution Specialist, Confident Leader",HORECA,velvetreserve1071@business.com
Delhi Cafe,Restaurant Space,978,"Nagpur, Punjab",1668468,"Persuasive Networker, Strategic Planner, Visionary Innovator",HORECA,delhicafe1248@business.com
Masala Spot,Food Court Stall,2994,"Delhi, Assam",14953468,"Execution Specialist, Confident Leader, Opportunity Hunter",HORECA,masalaspot9474@business.com
Royal Lounge,Retail Space,3060,"Patna, Madhya Pradesh",2701092,"Confident Leader, Adaptive Problem Solver, Persuasive Networker",HORECA,royallounge3380@business.com
Punjab Dhaba,Standalone Building,3858,"Nagpur, Kerala",18591238,"Persuasive Networker, Resilient Builder, Adaptive Problem Solver",HORECA,punjabdhaba8867@business.com
Bombay Eatery,Commercial Shop,3912,"Ahmedabad, Tamil Nadu",0,"Persuasive Networker, Opportunity Hunter, Adaptive Problem Solver",HORECA,bombayeatery5759@business.com
Desi Eatery,Mall Kiosk,1483,"Noida, Telangana",1502228,Confident Leader,HORECA,desieatery2228@business.com
Desi Station,Retail Space,3483,"Pune, Odisha",1957072,"Persuasive Networker, Opportunity Hunter, Resilient Builder",HORECA,desistation5867@business.com
Royal Table,Commercial Shop,2956,"Guwahati, Madhya Pradesh",2718638,Persuasive Networker,HORECA,royaltable9642@business.com
Grand Lounge,Retail Space,3430,"Bhubaneswar, Punjab",9850770,"Opportunity Hunter, Confident Leader, Resilient Builder",HORECA,grandlounge4898@business.com
Signature Cuisine,Food Court Stall,1205,"Noida, Maharashtra",0,"Adaptive Problem Solver, Execution Specialist",HORECA,signaturecuisine739@business.com
Hungry Hub,Commercial Shop,3835,"Delhi, Uttar Pradesh",13266298,Persuasive Networker,HORECA,hungryhub2259@business.com
Hungry Spot,Restaurant Space,2872,"Delhi, Delhi",11228067,"Visionary Innovator, Persuasive Networker",HORECA,hungryspot5018@business.com
Golden Cuisine,Food Court Stall,3703,"Bengaluru, Madhya Pradesh",9464395,Resilient Builder,HORECA,goldencuisine1705@business.com
Heritage Reserve,Food Court Stall,2468,"Nagpur, Maharashtra",538331,"Visionary Innovator, Adaptive Problem Solver",HORECA,heritagereserve8443@business.com
Spice Stop,Standalone Building,3920,"Chandigarh, Tamil Nadu",1554774,"Strategic Planner, Visionary Innovator, Confident Leader",HORECA,spicestop9863@business.com
Madras Food Court,Mall Kiosk,2124,"Delhi, Punjab",17826646,Opportunity Hunter,HORECA,madrasfoodcourt1037@business.com
Kolkata Dhaba,Retail Space,2070,"Lucknow, Punjab",1884216,"Strategic Planner, Execution Specialist, Adaptive Problem Solver",HORECA,kolkatadhaba8915@business.com
Regal Cafe,Food Court Stall,2377,"Kolkata, Delhi",0,Confident Leader,HORECA,regalcafe1137@business.com
Velvet Bistro,Restaurant Space,760,"Ahmedabad, Assam",0,"Resilient Builder, Execution Specialist, Strategic Planner",HORECA,velvetbistro5143@business.com
Punjab Meals,Standalone Building,2749,"Bengaluru, Punjab",0,"Adaptive Problem Solver, Strategic Planner",HORECA,punjabmeals3686@business.com
Royal Table,Standalone Building,2098,"Bhopal, Gujarat",3895804,Opportunity Hunter,HORECA,royaltable8896@business.com
Kolkata Tiffin,Standalone Building,626,"Bengaluru, Karnataka",9577786,"Visionary Innovator, Execution Specialist",HORECA,kolkatatiffin8078@business.com
Madras House,Food Court Stall,2950,"Mumbai, Gujarat",0,"Adaptive Problem Solver, Strategic Planner, Confident Leader",HORECA,madrashouse9555@business.com
Delhi Dhaba,Restaurant Space,3620,"Mumbai, Karnataka",7709706,Opportunity Hunter,HORECA,delhidhaba4745@business.com
Hungry Bazaar,Retail Space,1816,"Hyderabad, Rajasthan",1986464,Persuasive Networker,HORECA,hungrybazaar3014@business.com
Bengal Cafe,Mall Kiosk,989,"Hyderabad, Karnataka",4301509,Execution Specialist,HORECA,bengalcafe1279@business.com
Chill Adda,Restaurant Space,2730,"Chandigarh, Tamil Nadu",1833999,"Resilient Builder, Confident Leader, Opportunity Hunter",HORECA,chilladda9364@business.com
Kolkata Food Court,Commercial Shop,2165,"Chennai, Kerala",1799780,"Execution Specialist, Strategic Planner",HORECA,kolkatafoodcourt1894@business.com
Masti Bazaar,Restaurant Space,3629,"Noida, Rajasthan",0,Execution Specialist,HORECA,mastibazaar9643@business.com
Imperial House,Standalone Building,1409,"Bengaluru, Odisha",0,Strategic Planner,HORECA,imperialhouse3363@business.com
Velvet House,Mall Kiosk,3446,"Kochi, Kerala",0,Resilient Builder,HORECA,velvethouse108@business.com
Signature House,Food Court Stall,3612,"Bhubaneswar, West Bengal",8317117,Persuasive Networker,HORECA,signaturehouse3791@business.com
Desi Food Court,Mall Kiosk,2615,"Noida, Karnataka",740667,"Persuasive Networker, Confident Leader",HORECA,desifoodcourt7189@business.com
Delhi Food Court,Restaurant Space,3371,"Hyderabad, Punjab",0,Visionary Innovator,HORECA,delhifoodcourt3191@business.com
Tandoor Bazaar,Food Court Stall,3514,"Bhopal, Tamil Nadu",3925727,Resilient Builder,HORECA,tandoorbazaar1200@business.com
Lucknow Biryani,Mall Kiosk,1485,"Bengaluru, Madhya Pradesh",16981034,"Confident Leader, Persuasive Networker, Execution Specialist",HORECA,lucknowbiryani1107@business.com
Imperial Kitchen,Commercial Shop,1624,"Surat, Punjab",0,Strategic Planner,HORECA,imperialkitchen9337@business.com
Chai Stop,Retail Space,2249,"Surat, Assam",0,Opportunity Hunter,HORECA,chaistop6414@business.com
Velvet Table,Commercial Shop,2699,"Bhubaneswar, Tamil Nadu",2347551,"Execution Specialist, Opportunity Hunter",HORECA,velvettable7025@business.com
Spice Stop,Retail Space,408,"Chennai, Delhi",0,"Adaptive Problem Solver, Confident Leader, Opportunity Hunter",HORECA,spicestop5440@business.com
Hyderabadi House,Standalone Building,383,"Mumbai, West Bengal",3890846,Visionary Innovator,HORECA,hyderabadihouse1955@business.com
Golden Reserve,Food Court Stall,3499,"Indore, Kerala",10603174,"Execution Specialist, Strategic Planner, Resilient Builder",HORECA,goldenreserve8170@business.com
Heritage Table,Standalone Building,3817,"Bhopal, Assam",0,"Visionary Innovator, Opportunity Hunter, Confident Leader",HORECA,heritagetable9580@business.com
Punjab Food Court,Restaurant Space,3497,"Pune, Madhya Pradesh",9633692,Persuasive Networker,HORECA,punjabfoodcourt7147@business.com
Madras Meals,Retail Space,1366,"Ahmedabad, Telangana",15059629,"Opportunity Hunter, Persuasive Networker",HORECA,madrasmeals38@business.com
Urban Table,Restaurant Space,2297,"Bhopal, Assam",0,"Strategic Planner, Persuasive Networker, Execution Specialist",HORECA,urbantable9236@business.com
Biryani Spot,Standalone Building,2538,"Jaipur, Maharashtra",15703682,Resilient Builder,HORECA,biryanispot2680@business.com
Chai Adda,Mall Kiosk,469,"Bhopal, Punjab",0,"Opportunity Hunter, Resilient Builder",HORECA,chaiadda1128@business.com
Lucknow House,Restaurant Space,3092,"Chennai, Delhi",1767357,"Adaptive Problem Solver, Confident Leader",HORECA,lucknowhouse782@business.com
Urban Lounge,Restaurant Space,3730,"Indore, Karnataka",0,"Opportunity Hunter, Resilient Builder",HORECA,urbanlounge3948@business.com
Golden Cuisine,Commercial Shop,489,"Hyderabad, Madhya Pradesh",16649198,Confident Leader,HORECA,goldencuisine155@business.com
Imperial Bistro,Retail Space,900,"Kochi, Rajasthan",5079275,Opportunity Hunter,HORECA,imperialbistro8451@business.com
Lucknow Kitchen,Commercial Shop,3589,"Bhopal, Gujarat",0,"Confident Leader, Opportunity Hunter",HORECA,lucknowkitchen3189@business.com
Lucknow Corner,Food Court Stall,3170,"Bhubaneswar, Odisha",6549324,"Resilient Builder, Adaptive Problem Solver, Opportunity Hunter",HORECA,lucknowcorner3316@business.com
Regal House,Commercial Shop,2265,"Pune, West Bengal",0,"Execution Specialist, Confident Leader, Visionary Innovator",HORECA,regalhouse6129@business.com
Desi Dhaba,Commercial Shop,2586,"Kochi, Rajasthan",853649,Resilient Builder,HORECA,desidhaba3330@business.com
Spice Adda,Food Court Stall,3705,"Ahmedabad, Telangana",2501940,"Strategic Planner, Execution Specialist",HORECA,spiceadda1960@business.com
Madras Biryani,Mall Kiosk,2353,"Hyderabad, Odisha",9585425,Persuasive Networker,HORECA,madrasbiryani6575@business.com
Regal Reserve,Retail Space,1670,"Kolkata, Kerala",0,"Confident Leader, Opportunity Hunter",HORECA,regalreserve9120@business.com
Biryani Adda,Mall Kiosk,3815,"Noida, Rajasthan",6410263,"Strategic Planner, Persuasive Networker, Opportunity Hunter",HORECA,biryaniadda3135@business.com
Grand Table,Mall Kiosk,3526,"Nagpur, Madhya Pradesh",2403098,Adaptive Problem Solver,HORECA,grandtable583@business.com
Regal Dining,Standalone Building,2590,"Lucknow, Madhya Pradesh",2580793,"Strategic Planner, Persuasive Networker, Adaptive Problem Solver",HORECA,regaldining5933@business.com
Golden Dining,Restaurant Space,3796,"Chandigarh, Punjab",7881439,Resilient Builder,HORECA,goldendining5923@business.com
Elite Dining,Standalone Building,3726,"Lucknow, Maharashtra",1890879,Opportunity Hunter,HORECA,elitedining4524@business.com
Golden Bistro,Restaurant Space,3610,"Indore, Tamil Nadu",0,"Execution Specialist, Resilient Builder, Confident Leader",HORECA,goldenbistro8935@business.com
Delhi Tiffin,Mall Kiosk,3237,"Bhopal, Punjab",270756,"Resilient Builder, Strategic Planner",HORECA,delhitiffin5334@business.com
Masala Street,Restaurant Space,767,"Pune, Rajasthan",14979167,"Persuasive Networker, Confident Leader, Strategic Planner",HORECA,masalastreet5433@business.com
Masala Spot,Food Court Stall,3929,"Jaipur, Tamil Nadu",1182050,"Resilient Builder, Confident Leader, Execution Specialist",HORECA,masalaspot7642@business.com
Royal Cuisine,Mall Kiosk,3552,"Kochi, Kerala",12348759,"Confident Leader, Persuasive Networker, Adaptive Problem Solver",HORECA,royalcuisine7022@business.com
Bengal House,Restaurant Space,1805,"Hyderabad, Karnataka",0,"Opportunity Hunter, Resilient Builder, Execution Specialist",HORECA,bengalhouse5489@business.com
Punjab Meals,Restaurant Space,979,"Kochi, Tamil Nadu",0,Confident Leader,HORECA,punjabmeals733@business.com
Tandoor Corner,Commercial Shop,1418,"Guwahati, Rajasthan",0,"Execution Specialist, Persuasive Networker",HORECA,tandoorcorner6690@business.com
Chill Street,Commercial Shop,1966,"Guwahati, Madhya Pradesh",0,"Strategic Planner, Visionary Innovator",HORECA,chillstreet4710@business.com
Velvet Platter,Retail Space,3983,"Bhopal, Odisha",0,Execution Specialist,HORECA,velvetplatter4883@business.com
Punjab Biryani,Mall Kiosk,2136,"Guwahati, Uttar Pradesh",19104025,"Persuasive Networker, Opportunity Hunter",HORECA,punjabbiryani1640@business.com
Punjab Food Court,Restaurant Space,2986,"Guwahati, Kerala",0,Execution Specialist,HORECA,punjabfoodcourt89@business.com
Madras Meals,Commercial Shop,3976,"Ahmedabad, Gujarat",6568324,"Opportunity Hunter, Persuasive Networker, Execution Specialist",HORECA,madrasmeals8247@business.com
Desi Dhaba,Commercial Shop,3209,"Patna, Rajasthan",7149126,"Opportunity Hunter, Execution Specialist, Persuasive Networker",HORECA,desidhaba3620@business.com
Bengal Dhaba,Mall Kiosk,1163,"Jaipur, Madhya Pradesh",1519616,"Confident Leader, Strategic Planner, Persuasive Networker",HORECA,bengaldhaba3766@business.com
Madras Tiffin,Retail Space,3186,"Surat, Odisha",2639981,"Resilient Builder, Strategic Planner, Persuasive Networker",HORECA,madrastiffin155@business.com
Crazy Stop,Restaurant Space,2247,"Kochi, Telangana",15375614,Strategic Planner,HORECA,crazystop6171@business.com
Velvet Reserve,Food Court Stall,390,"Guwahati, Karnataka",0,"Opportunity Hunter, Confident Leader",HORECA,velvetreserve2293@business.com
Bombay Food Court,Commercial Shop,992,"Hyderabad, Tamil Nadu",15130791,"Execution Specialist, Opportunity Hunter",HORECA,bombayfoodcourt5869@business.com
India Biryani,Food Court Stall,2573,"Bhopal, Maharashtra",4909162,"Persuasive Networker, Strategic Planner",HORECA,indiabiryani9927@business.com
Kolkata House,Mall Kiosk,3767,"Surat, West Bengal",14002353,"Opportunity Hunter, Adaptive Problem Solver, Resilient Builder",HORECA,kolkatahouse7635@business.com
Kolkata Kitchen,Restaurant Space,2768,"Hyderabad, Rajasthan",12618838,Execution Specialist,HORECA,kolkatakitchen9156@business.com
